Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Recall@5%FPR,CV_PR_AUC,TrainTime_s
LogReg,0.8033,0.046409379579872984,0.8636363636363636,0.0880853036624942,0.909380457762662,0.13563590976327408,0.5363636363636364,0.11351385702128336,3.612640857696533
HistGB,0.9094,0.07387580299785867,0.6272727272727273,0.13218390804597702,0.8890798786653186,0.135551256806123,0.4909090909090909,0.10322449423742985,23.258201122283936
Stacking,0.8175,0.05081194342587742,0.8818181818181818,0.09608717186726103,0.9131298832613292,0.13514868625513196,0.5272727272727272,,28.477553844451904
RandomForest,0.9832,0.21568627450980393,0.2,0.20754716981132076,0.897446456475779,0.12720061053084855,0.5,0.11660055036299269,141.92824006080627
SVM,0.8319,0.05139920045688178,0.8181818181818182,0.09672219236969372,0.8958277415203604,0.09725546781608436,0.5,0.21954737134137478,56.92725992202759
DecisionTree,0.777,0.03508771929824561,0.7272727272727273,0.06694560669456066,0.780616325029874,0.05968481543830011,0.2909090909090909,0.04708943769986687,12.242628812789917
KNN,0.6596,0.025086505190311418,0.7909090909090909,0.048630519843487985,0.7996392131629745,0.0459305888919405,0.2909090909090909,0.988314780083335,194.62525582313538
